task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,text_10.started,text_10.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,100,101,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,30.969176399999924,35.966156299999966,,,,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Wait 1,5,wait,None,100,101,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,r,1,0.9799012000012226,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,r,0,0.07244420000006357,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,r,1,0.006936200001291581,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,r,1,0.1333146000006309,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,r,0,0.10290510000049835,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,5,5,3,,,,,,,,,,,r,0,0.04211089999989781,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,6,6,7,,,,,,,,,,,r,0,0.00549950000095123,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,7,7,4,,,,,,,,,,,r,0,0.14315060000080848,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,r,0,0.08946670000113954,,,,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,r,1,0.5208911000008811,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,1,1,8,,,,,,,,,,r,0,0.07832670000152575,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,r,0,0.08021760000065115,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,3,3,1,,,,,,,,,,r,1,0.09012390000043524,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,4,4,2,,,,,,,,,,r,1,0.08136850000028062,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,5,5,7,,,,,,,,,,r,0,0.13528890000088722,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,6,6,5,,,,,,,,,,r,0,0.08028750000084983,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,r,0,0.09842740000021877,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,8,8,6,,,,,,,,,,r,0,0.11856390000048123,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,0,9,4,,,,,,,,,,r,0,0.09635870000056457,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,1,10,7,,,,,,,,,,r,0,0.10753380000096513,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,2,11,5,,,,,,,,,,r,0,0.1059638000006089,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,3,12,0,,,,,,,,,,r,1,0.09347140000136278,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,4,13,6,,,,,,,,,,r,0,0.0944658000007621,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,5,14,3,,,,,,,,,,r,0,0.09097600000131933,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,6,15,2,,,,,,,,,,r,1,0.09440390000054322,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,7,16,1,,,,,,,,,,r,1,0.08378860000084387,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,8,17,8,,,,,,,,,,r,0,0.11566430000038963,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,2,0,18,2,,,,,,,,,,r,1,0.10626100000081351,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,2,1,19,6,,,,,,,,,,r,0,0.08494320000045263,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,2,2,20,1,,,,,,,,,,r,1,0.09918260000085866,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,2,3,21,8,,,,,,,,,,r,0,0.09568310000122437,,,,,,,Results/,2022-08-24_11h29.34.793,scheduler,2022.2.3,59.57338308895992,
