task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,100,101,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.0699999822682003e-05,0.09193409999988944,7.967480799999976,0.0005571000001509674,12.967785600000298,5.0116219000001365,,,,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Wait 1,5,wait,None,100,101,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,r,0,5.140358199999355,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,r,0,0.9590096999995694,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,r,1,0.3834449999994831,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,r,1,0.5463258999998288,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,r,0,0.47197179999966465,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,,,,,r,0,0.43571499999961816,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,6,6,0,,,,,,,,,,,,,,,r,1,0.5384846999995716,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,7,7,6,,,,,,,,,,,,,,,r,0,0.34281999999939217,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,8,8,5,,,,,,,,,,,,,,,r,0,0.7221273999994082,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,r,0,3.0024713999996493,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,r,0,1.596479599999384,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,None,0,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},114,115,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h27.30.776,scheduler,2022.2.3,59.812905232307315,
