task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,130,131,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1.920000022437307e-05,0.9878339000001688,8.967467500000112,0.00034810000033758115,13.985189900000023,5.011374400000022,,,,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Wait 1,5,wait,None,130,131,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,0,1,1,1,,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,r,0,1.360040000000481,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,r,1,0.10467090000020107,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,r,0,0.1602511000000959,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,,,r,0,0.14503599999989092,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,0,1,1,1,,,,,0,0,0,0,,,,,0,4,4,0,,,,,,,,,,,r,1,0.11698650000016642,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,r,0,0.11653509999996459,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,0,1,1,1,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,r,0,0.13688800000045376,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,7,7,6,,,,,,,,,,,r,0,0.11496829999987312,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,0,8,8,1,,,,,,,,,,,r,1,0.13311600000042745,,,,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,r,0,0.027462600000490056,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,r,1,1.6072153000000071,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,2,2,0,,,,,,,,,,r,1,0.19352059999982885,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,r,0,0.11839190000046074,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,r,0,0.09454080000023168,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,5,5,4,,,,,,,,,,r,0,0.08759969999982786,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,6,6,1,,,,,,,,,,r,1,0.08142850000012913,,,Results/,2022-08-24_14h41.35.855,scheduler,2022.2.3,59.89193099971278,
