task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Acquisition Start,1,wait,None,128,129,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,7.96438470000021,0.0005276000001686043,8.979669599999852,1.007884500000273,,,,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Acquisition Start,1,wait,None,128,129,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Wait 1,5,wait,None,130,131,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,8.979669599999852,0.0005070000001978769,13.983412999999928,5.002921700000115,,,,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Wait 1,5,wait,None,130,131,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,0,0,8,,,,,r,0,0.65204040000026,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,1,1,2,,,,,r,1,0.059985800000049494,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,r,0,0.0015306000000236963,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,r,0,0.02489449999984572,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,r,0,0.015342300000156683,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,5,5,6,,,,,r,0,0.007138900000427384,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,6,6,5,,,,,r,0,0.22246620000032635,,,Results/,2022-08-24_14h56.44.059,scheduler,2022.2.3,59.93353371107101,
