task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,math_trials.thisRepN,math_trials.thisTrialN,math_trials.thisN,math_trials.thisIndex,p_port.started,p_port.stopped,text_11.started,p_port_x_send_6.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,textbox.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Acquisition Start,1,acq_start,None,128,129,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.939999947353499e-05,0.9919954999995753,8.766851000000315,0.0008888000002116314,9.764271899999585,1.0048322000002372,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Acquisition Start,1,acq_start,None,128,129,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Wait 1,5,wait,None,130,131,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.764271899999585,0.0005114999994475511,14.768245500000376,5.002452200000334,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Wait 1,5,wait,None,130,131,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,r,0,4.073642599999403,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,r,0,0.203803199999129,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,r,0,0.057640799999717274,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,r,0,0.06277259999933449,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,r,1,0.08503359999940585,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,r,1,0.07226939999964088,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
