task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,trial_sign,text_11.started,p_port_x_send_6.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,p_port_x_send_2.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Acquisition Start,1,acq_start,None,128,129,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,8.3269264999999,0.00039509999987785704,9.325208100000054,1.0225830999997925,,,,,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Acquisition Start,1,acq_start,None,128,129,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Wait 1,5,wait,None,130,131,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,9.341758700000355,0.0005646999998134561,14.34585590000006,5.002402399999482,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Wait 1,5,wait,None,130,131,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,r,0,0.7677656999994724,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,r,1,0.07435999999961496,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,r,0,0.07529909999993833,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,r,0,0.08025180000004184,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,r,1,0.07951669999965816,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,r,0,0.15348679999988235,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,r,0,0.2681637999994564,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,r,0,0.30010479999964446,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,r,1,0.2969878999992943,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,0.08877420000044367,r,1,7.229141799999525,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,0.020245300000169664,r,0,0.41666889999942214,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,0.019111900000098103,None,0,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h36.47.796,scheduler,2022.2.3,60.515324295488696,
