task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,math_trials.thisRepN,math_trials.thisTrialN,math_trials.thisN,math_trials.thisIndex,p_port_x_send_6.started,text_11.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,p_port_x_send_2.started,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,p_port_x_send_4.started,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Acquisition Start,1,acq_start,None,128,129,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00041460000011284137,11.057174999999916,12.051944200000435,1.0224631000000954,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Acquisition Start,1,acq_start,None,128,129,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Wait 1,5,wait,None,130,131,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.068740499999876,0.0006217999998625601,17.07271159999982,5.002276199999869,,,,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Wait 1,5,wait,None,130,131,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,r,1,2.2185008000005837,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,r,0,0.12464550000004238,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,r,0,0.06644440000036411,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,r,0,0.05661989999953221,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,r,1,0.06393290000050911,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,r,0,0.05482060000031197,,,,,,,,,,,,Results/,2022-08-24_15h41.51.860,scheduler,2022.2.3,60.44845499770915,
