english_word,spanish_word,color,color_congruency,corr_ans,sound_congruency,sound_file_english,sound_file_spanish
RED,ROJO,red,congruent,4,congruent_text,audio_files/red.wav,audio_files/rojo.wav
GREEN,VERDE,red,incongruent,4,congruent_text,audio_files/green.wav,audio_files/verde.wav
BLUE,AZUL,red,incongruent,4,congruent_text,audio_files/blue.wav,audio_files/azul.wav
YELLOW,AMARILLO,red,incongruent,4,congruent_text,audio_files/yellow.wav,audio_files/amarillo.wav
RED,ROJO,green,incongruent,6,congruent_text,audio_files/red.wav,audio_files/rojo.wav
GREEN,VERDE,green,congruent,6,congruent_text,audio_files/green.wav,audio_files/verde.wav
BLUE,AZUL,green,incongruent,6,congruent_text,audio_files/blue.wav,audio_files/azul.wav
YELLOW,AMARILLO,green,incongruent,6,congruent_text,audio_files/yellow.wav,audio_files/amarillo.wav
RED,ROJO,blue,incongruent,7,congruent_text,audio_files/red.wav,audio_files/rojo.wav
GREEN,VERDE,blue,incongruent,7,congruent_text,audio_files/green.wav,audio_files/verde.wav
BLUE,AZUL,blue,congruent,7,congruent_text,audio_files/blue.wav,audio_files/azul.wav
YELLOW,AMARILLO,blue,incongruent,7,congruent_text,audio_files/yellow.wav,audio_files/amarillo.wav
RED,ROJO,yellow,incongruent,5,congruent_text,audio_files/red.wav,audio_files/rojo.wav
GREEN,VERDE,yellow,incongruent,5,congruent_text,audio_files/green.wav,audio_files/verde.wav
BLUE,AZUL,yellow,incongruent,5,congruent_text,audio_files/blue.wav,audio_files/azul.wav
YELLOW,AMARILLO,yellow,congruent,5,congruent_text,audio_files/yellow.wav,audio_files/amarillo.wav
RED,ROJO,red,congruent,4,congruent_color,audio_files/red.wav,audio_files/rojo.wav
GREEN,VERDE,red,incongruent,4,congruent_color,audio_files/red.wav,audio_files/rojo.wav
BLUE,AZUL,red,incongruent,4,congruent_color,audio_files/red.wav,audio_files/rojo.wav
YELLOW,AMARILLO,red,incongruent,4,congruent_color,audio_files/red.wav,audio_files/rojo.wav
RED,ROJO,green,incongruent,6,congruent_color,audio_files/green.wav,audio_files/verde.wav
GREEN,VERDE,green,congruent,6,congruent_color,audio_files/green.wav,audio_files/verde.wav
BLUE,AZUL,green,incongruent,6,congruent_color,audio_files/green.wav,audio_files/verde.wav
YELLOW,AMARILLO,green,incongruent,6,congruent_color,audio_files/green.wav,audio_files/verde.wav
RED,ROJO,blue,incongruent,7,congruent_color,audio_files/blue.wav,audio_files/azul.wav
GREEN,VERDE,blue,incongruent,7,congruent_color,audio_files/blue.wav,audio_files/azul.wav
BLUE,AZUL,blue,congruent,7,congruent_color,audio_files/blue.wav,audio_files/azul.wav
YELLOW,AMARILLO,blue,incongruent,7,congruent_color,audio_files/blue.wav,audio_files/azul.wav
RED,ROJO,yellow,incongruent,5,congruent_color,audio_files/yellow.wav,audio_files/amarillo.wav
GREEN,VERDE,yellow,incongruent,5,congruent_color,audio_files/yellow.wav,audio_files/amarillo.wav
BLUE,AZUL,yellow,incongruent,5,congruent_color,audio_files/yellow.wav,audio_files/amarillo.wav
YELLOW,AMARILLO,yellow,congruent,5,congruent_color,audio_files/yellow.wav,audio_files/amarillo.wav
